Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Image
16045144,"The Beautiful Mystery (Chief Inspector Armand Gamache, #8)",Louise Penny,"Penny, Louise",,1250031125,9781250031129,3,Minotaur Books,Paperback,373,2013,2012,2021/07/23,2021/07/23,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1388713271i/16045144.jpg
40604846,Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,"Demick, Barbara",,,,4,Spiegel & Grau,Kindle Edition,338,2009,2009,2021/07/30,2021/07/30,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1529606621i/40604846.jpg
43779862,Grown Ups,Marian Keyes,"Keyes, Marian",,718179749,9780718179748,3,Michael Joseph,Hardcover,636,2020,2020,2021/08/05,2021/08/05,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1571098425i/43779862.jpg
56030276,New Girl in Little Cove,Damhnait Monaghan,"Monaghan, Damhnait",,1525811509,9781525811500,2,Graydon House,Paperback,336,2021,2021,2021/08/08,2021/08/08,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1616458091i/56030276.jpg
54870216,How Lucky,Will Leitch,"Leitch, Will",,63073099,9780063073098,4,Harper,Hardcover,290,2021,2021,2021/08/13,2021/08/13,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1619418610i/54870216.jpg
53489729,Early Morning Riser,Katherine Heiny,"Heiny, Katherine",,052565934X,9780525659341,3,Knopf,Hardcover,320,2021,2021,2021/08/19,2021/08/19,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1612198159i/53489729.jpg
645023,Castle of Wizardry (The Belgariad #4),David Eddings,"Eddings, David",,345335708,9780345335708,3,Del Rey,Mass Market Paperback,375,1984,1984,2021/08/29,2021/08/29,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1421711682i/645023.jpg
55711706,Everyone in This Room Will Someday Be Dead,Emily R. Austin,"Austin, Emily R.",,1982167351,9781982167356,4,Atria Books,Hardcover,256,2021,2021,2021/09/06,2021/09/06,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1623264362i/55711706.jpg
44687,Enchanters' End Game (The Belgariad #5),David Eddings,"Eddings, David",,345300785,9780345300782,3,Del Rey,Mass Market Paperback,384,1984,1984,2021/09/06,2021/09/06,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1217735909i/44687.jpg
34599653,The Only Girl in the World,Maude Julien,"Julien, Maude",,1925498115,9781925498110,3,Text Publishing,Paperback,256,2017,2014,2021/09/13,2021/09/13,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1489551942i/34599653.jpg
